Store,Date,Weekly_Sales,rWeekly_Sales,nWeekly_sales
33,2/5/2010,134830.48,134830,0.190111773
33,2/12/2010,239867.92,239868,0.794042225
33,2/19/2010,257258.42,257258,0.894028426
33,3/5/2010,239302.41,239302,0.79078793
33,3/12/2010,275688.83,275689,1
33,3/26/2010,165160.12,165160,0.364498287
33,4/2/2010,204840.34,204840,0.592643913
33,4/16/2010,163783.56,163784,0.356586785
33,4/23/2010,139431.29,139431,0.216565856
33,5/7/2010,253695.33,253695,0.873542467
33,5/14/2010,194549.82,194550,0.533480141
33,5/28/2010,227866.74,227867,0.725040822
33,6/4/2010,198170.06,198170,0.554293829
33,6/18/2010,162255.71,162256,0.347801339
33,6/25/2010,152973.16,152973,0.294427451
33,7/9/2010,198330.6,198331,0.555219521
33,7/16/2010,210953.23,210953,0.627791449
33,7/30/2010,138059.04,138059,0.208677353
33,8/6/2010,214154.07,214154,0.64619604
33,8/20/2010,148409.55,148410,0.268191854
33,8/27/2010,172885.02,172885,0.408914238
33,9/10/2010,211613.85,211614,0.63159196
33,9/17/2010,208174.55,208175,0.611818955
33,10/1/2010,185876.2,185876,0.483607783
33,10/8/2010,120422.16,120422,0.107270992
33,10/22/2010,148758.87,148759,0.270198477
33,10/29/2010,184674.09,184674,0.476696718
33,11/12/2010,154819.2,154819,0.305041282
33,11/19/2010,155294.75,155295,0.30777811
33,12/3/2010,101764.74,101765,0
33,12/10/2010,204773.46,204773,0.592258688
33,12/24/2010,182181.93,182182,0.462368621
33,12/31/2010,156302.7,156303,0.313573745
33,1/14/2011,158240.53,158241,0.324716543
33,1/21/2011,163940.66,163941,0.357489478
33,2/4/2011,181488.39,181488,0.458378372
33,2/11/2011,197505.26,197505,0.55047032
33,2/25/2011,176742.89,176743,0.431096341
33,3/4/2011,181597.93,181598,0.459010832
33,3/18/2011,185604.69,185605,0.482049631
33,3/25/2011,129646.41,129646,0.160305651
33,4/8/2011,115979.51,115980,0.081731101
33,4/15/2011,187126.68,187127,0.49080058
33,4/29/2011,199652.85,199653,0.562820542
33,5/6/2011,145767.05,145767,0.252995561
33,5/20/2011,151784.9,151785,0.287596881
33,5/27/2011,174724.3,174724,0.419487822
33,6/10/2011,165264.29,165264,0.365096249
33,6/17/2011,130243.41,130243,0.163738184
33,7/1/2011,119415.22,119415,0.101481107
33,7/8/2011,157720.43,157720,0.321720982
33,7/22/2011,204834.23,204834,0.592609416
33,7/29/2011,133983.1,133983,0.18524183
33,8/12/2011,164444.57,164445,0.360387296
33,8/19/2011,179113.78,179114,0.444728732
33,9/2/2011,106788.3,106788,0.028880431
33,9/9/2011,179240.65,179241,0.445458936
33,9/23/2011,149537.87,149538,0.274677445
33,9/30/2011,109390.25,109390,0.043840988
33,10/14/2011,173811.34,173811,0.414238403
33,10/21/2011,206893.15,206893,0.60444792
33,11/4/2011,172263.23,172263,0.405337964
33,11/11/2011,211955.99,211956,0.633558336
33,11/25/2011,220254.46,220254,0.68126883
33,12/2/2011,206655.35,206655,0.603079506
33,12/16/2011,204921.54,204922,0.593115384
33,12/23/2011,182146.56,182147,0.462167383
33,1/6/2012,153452.41,153452,0.297181528
33,1/13/2012,176114.23,176114,0.427479819
33,1/27/2012,192493.99,192494,0.521658885
33,2/3/2012,125281.87,125282,0.135214232
33,2/17/2012,189230.8,189231,0.502897817
33,2/24/2012,139370.08,139370,0.216215128
33,3/9/2012,171602.46,171602,0.401537453
33,3/16/2012,190098.07,190098,0.507882753
33,3/30/2012,162493.13,162493,0.349164003
33,4/6/2012,201449.62,201450,0.573152641
33,4/20/2012,216389.86,216390,0.65905223
33,4/27/2012,145917.95,145918,0.253863757
33,5/11/2012,170492.05,170492,0.395155355
33,5/18/2012,208791.36,208791,0.615360732
33,6/1/2012,180801.81,180802,0.454434121
33,6/8/2012,245221.92,245222,0.824825786
33,6/22/2012,110323.65,110324,0.04921115
33,6/29/2012,169833.69,169834,0.391372094
33,7/13/2012,241195.18,241195,0.801671995
33,7/20/2012,173147.98,173148,0.410426393
33,8/3/2012,179733.75,179734,0.448293508
33,8/10/2012,178885.8,178886,0.443417815
33,8/24/2012,150209.13,150209,0.278535452
33,8/31/2012,139284.42,139284,0.21572066
33,9/14/2012,214660.46,214660,0.649105356
33,9/21/2012,195478.33,195478,0.538815805
33,10/5/2012,169032.1,169032,0.386760884
33,10/12/2012,225211.98,225212,0.709775534
33,10/26/2012,197044.23,197044,0.547819737
